# Club colours for baseball, from teamcolorcodes.com — the same source as the
# colours in data/reference/nfl-franchise-history.csv.
#
# An earlier version of this file was written from recollection and said so.
# Several rows were wrong: Cleveland was #0C2340 where the source says #00385D,
# Colorado #33006F where it says #333366. Recollection is not a source, and the
# fix was to read the one that already existed.
#
# Colours are published as-is, in the club's own order, up to five. Which one
# becomes the page ground and which the accent is decided by lib/palette.js,
# because that is a rendering question and both sports answer it the same way:
# the darkest is the ground, and the accent is the FIRST of the rest that is
# legible on it. First, not most legible — maximum contrast gave the Brewers
# white over their own gold, which is more readable and less theirs.
#
# ONE THING THIS STILL LACKS: eras. One row per franchise, current colours only.
# Football renders a 1930 page in the palette of 1930 because its history table
# carries colours per span; baseball will show a 1969 Pilots page in Brewers
# navy until this file grows the same.
#
# `code` is the Retrosheet franchise code.
code,name,colorA,colorB,colorC,colorD,colorE
ARI,Arizona Diamondbacks,#A71930,#E3D4AD,#000000,,
ATL,Atlanta Braves,#CE1141,#13274F,#EAAA00,,
BAL,Baltimore Orioles,#DF4601,#000000,#FFFFFF,,
BOS,Boston Red Sox,#BD3039,#0C2340,#FFFFFF,,
CHN,Chicago Cubs,#0E3386,#CC3433,#FFFFFF,,
CHA,Chicago White Sox,#27251F,#C4CED4,#FFFFFF,,
CIN,Cincinnati Reds,#C6011F,#000000,#FFFFFF,,
CLE,Cleveland Guardians,#00385D,#E50022,#FFFFFF,,
COL,Colorado Rockies,#333366,#C4CED4,#131413,,
DET,Detroit Tigers,#0C2340,#FA4616,#FFFFFF,,
HOU,Houston Astros,#002D62,#EB6E1F,#F4911E,,
KCA,Kansas City Royals,#004687,#BD9B60,#FFFFFF,,
ANA,Los Angeles Angels,#003263,#BA0021,#862633,,
LAN,Los Angeles Dodgers,#005A9C,#EF3E42,#A5ACAF,,
MIA,Miami Marlins,#00A3E0,#EF3340,#41748D,,
MIL,Milwaukee Brewers,#12284B,#FFC52F,#FFFFFF,,
MIN,Minnesota Twins,#002B5C,#D31145,#B9975B,,
NYN,New York Mets,#002D72,#FF5910,#FFFFFF,,
NYA,New York Yankees,#003087,#E4002C,#0C2340,,
ATH,Athletics,#003831,#EFB21E,#A2AAAD,,
PHI,Philadelphia Phillies,#E81828,#002D72,#FFFFFF,,
PIT,Pittsburgh Pirates,#27251F,#FDB827,#FFFFFF,,
SDN,San Diego Padres,#2F241D,#FFC425,#FFFFFF,,
SFN,San Francisco Giants,#FD5A1E,#27251F,#EFD19F,,
SEA,Seattle Mariners,#0C2C56,#005C5C,#C4CED4,,
SLN,St. Louis Cardinals,#C41E3A,#0C2340,#FEDB00,,
TBA,Tampa Bay Rays,#092C5C,#8FBCE6,#F5D130,,
TEX,Texas Rangers,#003278,#C0111F,#FFFFFF,,
TOR,Toronto Blue Jays,#134A8E,#1D2D5C,#E8291C,,
WAS,Washington Nationals,#AB0003,#14225A,#FFFFFF,,
