franchiseAbbrv,teamAbbrv,espnAbbrv,league,division,city,teamName,alternateName,startDate,endDate,locationCity,locationState,colorA,colorB,colorC,colorD,colorE
ANA,LAA,,AL,,Los Angeles,Angels,,4/11/1961,9/1/1965,Los Angeles,CA,#BA0021,#003263,#C4CED4,,
ANA,CAL,,AL,,California,Angels,,9/2/1965,9/29/1968,Anaheim,CA,#BA0021,#003263,#C4CED4,,
ANA,CAL,,AL,W,California,Angels,,4/8/1969,9/29/1996,Anaheim,CA,#BA0021,#003263,#C4CED4,,
ANA,ANA,,AL,W,Anaheim,Angels,,4/2/1997,12/31/2001,Anaheim,CA,#003263,#6699CC,#C4CED4,,
ANA,ANA,,AL,W,Anaheim,Angels,,1/1/2002,10/3/2004,Anaheim,CA,#BA0021,#003263,#C4CED4,,
ANA,ANA,LAA,AL,W,Los Angeles,Angels,,4/5/2005,,Anaheim,CA,#BA0021,#003263,#C4CED4,,
ARI,ARI,,NL,W,Arizona,Diamondbacks,,3/31/1998,12/31/2006,Phoenix,AZ,#4C2882,#00A6A0,#B87333,#000000,
ARI,ARI,ARI,NL,W,Arizona,Diamondbacks,,1/1/2007,,Phoenix,AZ,#A71930,#000000,#E3D4AD,,
ATL,BS1,,NA,,Boston,Red Stockings,,5/5/1871,10/30/1875,Boston,MA,#C8102E,#FFFFFF,,,
ATL,BSN,,NL,,Boston,Red Caps,,4/22/1876,10/2/1882,Boston,MA,#C8102E,#FFFFFF,,,
ATL,BSN,,NL,,Boston,Beaneaters,,5/1/1883,10/5/1906,Boston,MA,#C8102E,#FFFFFF,,,
ATL,BSN,,NL,,Boston,Doves,,4/15/1907,10/12/1910,Boston,MA,#C8102E,#FFFFFF,,,
ATL,BSN,,NL,,Boston,Rustlers,Heps,4/12/1911,10/9/1911,Boston,MA,#C8102E,#FFFFFF,,,
ATL,BSN,,NL,,Boston,Braves,,4/11/1912,9/29/1935,Boston,MA,#C8102E,#0C2340,#FFFFFF,,
ATL,BSN,,NL,,Boston,Bees,,4/14/1936,9/29/1940,Boston,MA,#002D72,#FFC72C,#FFFFFF,,
ATL,BSN,,NL,,Boston,Braves,,4/15/1941,9/28/1952,Boston,MA,#0C2340,#C8102E,#FFFFFF,,
ATL,MLN,,NL,,Milwaukee,Braves,,4/13/1953,10/3/1965,Milwaukee,WI,#13274F,#CE1141,#FFFFFF,,
ATL,ATL,,NL,,Atlanta,Braves,,4/12/1966,9/29/1968,Atlanta,GA,#13274F,#CE1141,#FFFFFF,,
ATL,ATL,,NL,W,Atlanta,Braves,,4/7/1969,12/31/1971,Atlanta,GA,#13274F,#CE1141,#FFFFFF,,
ATL,ATL,,NL,W,Atlanta,Braves,,1/1/1972,12/31/1986,Atlanta,GA,#0033A0,#CE1141,#FFFFFF,,
ATL,ATL,,NL,W,Atlanta,Braves,,1/1/1987,10/3/1993,Atlanta,GA,#13274F,#CE1141,#FFFFFF,,
ATL,ATL,ATL,NL,E,Atlanta,Braves,,4/4/1994,,Atlanta,GA,#13274F,#CE1141,#FFFFFF,,
BAL,MLA,,AL,,Milwaukee,Brewers,,4/25/1901,9/28/1901,Milwaukee,WI,#002244,#FFFFFF,,,
BAL,SLA,,AL,,St. Louis,Browns,,4/23/1902,9/27/1953,St. Louis,MO,#4E3629,#DF4601,#FFFFFF,,
BAL,BAL,,AL,,Baltimore,Orioles,,4/13/1954,9/27/1968,Baltimore,MD,#DF4601,#000000,#FFFFFF,,
BAL,BAL,BAL,AL,E,Baltimore,Orioles,,4/8/1969,,Baltimore,MD,#DF4601,#000000,#FFFFFF,,
BOS,BOS,,AL,,Boston,Americans,Somersets,4/26/1901,10/5/1907,Boston,MA,#0C2340,#BD3039,#FFFFFF,,
BOS,BOS,,AL,,Boston,Red Sox,,4/14/1908,9/29/1968,Boston,MA,#BD3039,#0C2340,#FFFFFF,,
BOS,BOS,BOS,AL,E,Boston,Red Sox,,4/8/1969,,Boston,MA,#BD3039,#0C2340,#FFFFFF,,
CHA,CHA,,AL,,Chicago,White Sox,,4/24/1901,9/29/1968,Chicago,IL,#0C2340,#FFFFFF,,,
CHA,CHA,,AL,W,Chicago,White Sox,,4/8/1969,12/31/1970,Chicago,IL,#0C2340,#FFFFFF,,,
CHA,CHA,,AL,W,Chicago,White Sox,,1/1/1971,12/31/1975,Chicago,IL,#C8102E,#002244,#FFFFFF,,
CHA,CHA,,AL,W,Chicago,White Sox,,1/1/1976,12/31/1981,Chicago,IL,#0C2340,#FFFFFF,,,
CHA,CHA,,AL,W,Chicago,White Sox,,1/1/1982,12/31/1990,Chicago,IL,#C8102E,#002244,#FFFFFF,,
CHA,CHA,,AL,W,Chicago,White Sox,,1/1/1991,10/3/1993,Chicago,IL,#27251F,#C4CED4,#FFFFFF,,
CHA,CHA,CHW,AL,C,Chicago,White Sox,,4/4/1994,,Chicago,IL,#27251F,#C4CED4,#FFFFFF,,
CHN,CH1,,NA,,Chicago,White Stockings,,5/8/1871,10/30/1871,Chicago,IL,#002244,#FFFFFF,,,
CHN,CH2,,NA,,Chicago,White Stockings,,5/13/1874,10/27/1875,Chicago,IL,#002244,#FFFFFF,,,
CHN,CHN,,NL,,Chicago,White Stockings,,4/25/1876,10/5/1889,Chicago,IL,#002244,#FFFFFF,,,
CHN,CHN,,NL,,Chicago,Colts,,4/19/1890,10/3/1897,Chicago,IL,#002244,#FFFFFF,,,
CHN,CHN,,NL,,Chicago,Orphans,,4/15/1898,10/5/1902,Chicago,IL,#002244,#FFFFFF,,,
CHN,CHN,,NL,,Chicago,Cubs,,4/16/1903,9/29/1968,Chicago,IL,#0E3386,#CC3433,#FFFFFF,,
CHN,CHN,,NL,E,Chicago,Cubs,,4/8/1969,10/3/1993,Chicago,IL,#0E3386,#CC3433,#FFFFFF,,
CHN,CHN,CHC,NL,C,Chicago,Cubs,,4/4/1994,,Chicago,IL,#0E3386,#CC3433,#FFFFFF,,
CIN,CN2,,AA,,Cincinnati,Red Stockings,,5/2/1882,10/15/1889,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,,NL,,Cincinnati,Reds,,4/19/1890,9/27/1953,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,,NL,,Cincinnati,Redlegs,,4/13/1954,6/27/1959,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,,NL,,Cincinnati,Reds,,4/12/1960,9/29/1968,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,,NL,W,Cincinnati,Reds,,4/7/1969,10/3/1993,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,,NL,C,Cincinnati,Reds,,4/3/1994,12/31/1998,Cincinnati,OH,#C6011F,#FFFFFF,,,
CIN,CIN,CIN,NL,C,Cincinnati,Reds,,1/1/1999,,Cincinnati,OH,#C6011F,#000000,#FFFFFF,,
CLE,CLE,,AL,,Cleveland,Blues,,4/24/1901,9/28/1901,Cleveland,OH,#002244,#FFFFFF,,,
CLE,CLE,,AL,,Cleveland,Broncos,,4/23/1902,9/27/1902,Cleveland,OH,#002244,#FFFFFF,,,
CLE,CLE,,AL,,Cleveland,Naps,,4/22/1903,10/4/1914,Cleveland,OH,#002244,#FFFFFF,,,
CLE,CLE,,AL,,Cleveland,Indians,,4/14/1915,9/27/1968,Cleveland,OH,#0C2340,#E31937,#FFFFFF,,
CLE,CLE,,AL,E,Cleveland,Indians,,4/8/1969,12/31/1972,Cleveland,OH,#0C2340,#E31937,#FFFFFF,,
CLE,CLE,,AL,E,Cleveland,Indians,,1/1/1973,12/31/1977,Cleveland,OH,#E31937,#0C2340,#FFFFFF,,
CLE,CLE,,AL,E,Cleveland,Indians,,1/1/1978,10/3/1993,Cleveland,OH,#0C2340,#E31937,#FFFFFF,,
CLE,CLE,,AL,C,Cleveland,Indians,,4/4/1994,10/3/2021,Cleveland,OH,#0C2340,#E31937,#FFFFFF,,
CLE,CLE,CLE,AL,C,Cleveland,Guardians,,4/7/2022,,Cleveland,OH,#00385D,#E50022,#FFFFFF,,
COL,COL,COL,NL,W,Colorado,Rockies,,4/5/1993,,Denver,CO,#33006F,#C4CED4,#000000,#FFFFFF,
DET,DET,,AL,,Detroit,Tigers,,4/25/1901,9/29/1968,Detroit,MI,#0C2340,#FFFFFF,,,
DET,DET,,AL,E,Detroit,Tigers,,4/8/1969,12/31/1993,Detroit,MI,#0C2340,#FFFFFF,,,
DET,DET,,AL,E,Detroit,Tigers,,1/1/1994,9/28/1997,Detroit,MI,#0C2340,#FA4616,#FFFFFF,,
DET,DET,DET,AL,C,Detroit,Tigers,,3/31/1998,,Detroit,MI,#0C2340,#FA4616,#FFFFFF,,
HOU,HOU,,NL,,Houston,Colt .45's,,4/10/1962,10/4/1964,Houston,TX,#002244,#DF4601,#FFFFFF,,
HOU,HOU,,NL,,Houston,Astros,,4/12/1965,9/29/1968,Houston,TX,#002244,#DF4601,#FFFFFF,,
HOU,HOU,,NL,W,Houston,Astros,,4/8/1969,12/31/1974,Houston,TX,#002244,#DF4601,#FFFFFF,,
HOU,HOU,,NL,W,Houston,Astros,,1/1/1975,10/3/1993,Houston,TX,#EB6E1F,#FFB612,#C8102E,#002244,
HOU,HOU,,NL,C,Houston,Astros,,4/4/1994,12/31/1999,Houston,TX,#002244,#B3995D,#FFFFFF,,
HOU,HOU,,NL,C,Houston,Astros,,1/1/2000,10/3/2012,Houston,TX,#B71234,#D6C299,#000000,,
HOU,HOU,HOU,AL,W,Houston,Astros,,3/31/2013,,Houston,TX,#002D62,#EB6E1F,#FFFFFF,,
KCA,KCA,,AL,W,Kansas City,Royals,,4/8/1969,10/3/1993,Kansas City,MO,#004687,#BD9B60,#FFFFFF,,
KCA,KCA,KC,AL,C,Kansas City,Royals,,4/4/1994,,Kansas City,MO,#004687,#BD9B60,#FFFFFF,,
LAN,BR3,,AA,,Brooklyn,Atlantics,Trolley Dodgers,5/1/1884,10/15/1884,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BR3,,AA,,Brooklyn,Grays,Trolley Dodgers,4/20/1885,10/10/1887,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BR4,,AA,,Brooklyn,Bridegrooms,,4/8/1888,10/14/1889,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Bridegrooms,Grooms,4/19/1890,10/15/1898,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Superbas,,4/15/1899,10/12/1910,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Dodgers,Superbas,4/12/1911,10/5/1912,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Superbas,,4/9/1913,10/3/1913,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Robins,,4/14/1914,9/27/1931,Brooklyn,NY,#002244,#FFFFFF,,,
LAN,BRO,,NL,,Brooklyn,Dodgers,,4/12/1932,9/29/1957,Brooklyn,NY,#005A9C,#EF3E42,#FFFFFF,,
LAN,LAN,,NL,,Los Angeles,Dodgers,,4/15/1958,9/29/1968,Los Angeles,CA,#005A9C,#EF3E42,#FFFFFF,,
