# Franchise names by date, for MLB.
#
# Generated by scripts/names.mjs from Retrosheet's CurrentNames.csv.
# Source: https://www.retrosheet.org/CurrentNames.csv
#
# Unlike data/reference/nfl-divisions.csv, these dates ARE real eras: a
# game on 1969-06-01 was played by the Seattle Pilots, and that is what
# this file says. Football has no equivalent, which is why NFL names
# resolve to the current franchise name regardless of date.
#
# An empty `to` means the name is current.
#
# The information used here was obtained free of charge from and is
# copyrighted by Retrosheet. Interested parties may contact Retrosheet at
# https://www.retrosheet.org.
code,name,from,to,current
LAA,Los Angeles Angels,1961-04-11,1965-09-01,ANA
CAL,California Angels,1965-09-02,1996-09-29,ANA
ANA,Anaheim Angels,1997-04-02,2004-10-03,ANA
ANA,Los Angeles Angels,2005-04-05,,ANA
ARI,Arizona Diamondbacks,1998-03-31,,ARI
BS1,Boston Red Stockings,1871-05-05,1875-10-30,ATL
BSN,Boston Red Caps,1876-04-22,1882-10-02,ATL
BSN,Boston Beaneaters,1883-05-01,1906-10-05,ATL
BSN,Boston Doves,1907-04-15,1910-10-12,ATL
BSN,Boston Rustlers,1911-04-12,1911-10-09,ATL
BSN,Boston Braves,1912-04-11,1935-09-29,ATL
BSN,Boston Bees,1936-04-14,1940-09-29,ATL
BSN,Boston Braves,1941-04-15,1952-09-28,ATL
MLN,Milwaukee Braves,1953-04-13,1965-10-03,ATL
ATL,Atlanta Braves,1966-04-12,,ATL
MLA,Milwaukee Brewers,1901-04-25,1901-09-28,BAL
SLA,St. Louis Browns,1902-04-23,1953-09-27,BAL
BAL,Baltimore Orioles,1954-04-13,,BAL
BOS,Boston Americans,1901-04-26,1907-10-05,BOS
BOS,Boston Red Sox,1908-04-14,,BOS
CHA,Chicago White Sox,1901-04-24,,CHA
CH1,Chicago White Stockings,1871-05-08,1871-10-30,CHN
CH2,Chicago White Stockings,1874-05-13,1875-10-27,CHN
CHN,Chicago White Stockings,1876-04-25,1889-10-05,CHN
CHN,Chicago Colts,1890-04-19,1897-10-03,CHN
CHN,Chicago Orphans,1898-04-15,1902-10-05,CHN
CHN,Chicago Cubs,1903-04-16,,CHN
CN2,Cincinnati Red Stockings,1882-05-02,1889-10-15,CIN
CIN,Cincinnati Reds,1890-04-19,1953-09-27,CIN
CIN,Cincinnati Redlegs,1954-04-13,1959-06-27,CIN
CIN,Cincinnati Reds,1960-04-12,,CIN
CLE,Cleveland Blues,1901-04-24,1901-09-28,CLE
CLE,Cleveland Broncos,1902-04-23,1902-09-27,CLE
CLE,Cleveland Naps,1903-04-22,1914-10-04,CLE
CLE,Cleveland Indians,1915-04-14,2021-10-03,CLE
CLE,Cleveland Guardians,2022-04-07,,CLE
COL,Colorado Rockies,1993-04-05,,COL
DET,Detroit Tigers,1901-04-25,,DET
HOU,Houston Colt .45's,1962-04-10,1964-10-04,HOU
HOU,Houston Astros,1965-04-12,,HOU
KCA,Kansas City Royals,1969-04-08,,KCA
BR3,Brooklyn Atlantics,1884-05-01,1884-10-15,LAN
BR3,Brooklyn Grays,1885-04-20,1887-10-10,LAN
BR4,Brooklyn Bridegrooms,1888-04-08,1889-10-14,LAN
BRO,Brooklyn Bridegrooms,1890-04-19,1898-10-15,LAN
BRO,Brooklyn Superbas,1899-04-15,1910-10-12,LAN
BRO,Brooklyn Dodgers,1911-04-12,1912-10-05,LAN
BRO,Brooklyn Superbas,1913-04-09,1913-10-03,LAN
BRO,Brooklyn Robins,1914-04-14,1931-09-27,LAN
BRO,Brooklyn Dodgers,1932-04-12,1957-09-29,LAN
LAN,Los Angeles Dodgers,1958-04-15,,LAN
FLO,Florida Marlins,1993-04-05,2011-09-28,MIA
MIA,Miami Marlins,2012-04-04,,MIA
SE1,Seattle Pilots,1969-04-08,1969-10-02,MIL
MIL,Milwaukee Brewers,1970-04-07,,MIL
WS1,Washington Senators,1901-04-26,1960-10-02,MIN
MIN,Minnesota Twins,1961-04-11,,MIN
