franchiseAbbrv,teamAbbrv,league,conference,division,city,teamName,alternateName,startSeason,endSeason,locationCity,locationState,colorA,colorB,colorC,colorD,colorE
RII,RII,Independent,,,Rock Island ,Independents,,1907,1919,Rock Island,IL,#046A38,#FFFFFF,,,
RII,RII,National Football League,,,Rock Island ,Independents,,1920,1925,Rock Island,IL,#046A38,#FFFFFF,,,
RII,RII,American Football League,,,Rock Island ,Independents,,1926,1926,Rock Island,IL,#046A38,#FFFFFF,,,
STP,STP,Independent,,,St Paul,Ideals,,1920,1920,St Paul,MN,,,,,
AKR,AKR,Ohio League,,,Akron,Indians,,1908,1916,Akron,OH,#0033A0,#FFFFFF,,,
AKR,AKR,Ohio League,,,Akron,Burkhardts,,1916,1917,Akron,OH,#0033A0,#FFFFFF,,,
AKR,AKR,Ohio League,,,Akron,Indians,,1918,1919,Akron,OH,#0033A0,#FFFFFF,,,
AKR,AKR,National Football League,,,Akron,Pros,,1920,1925,Akron,OH,#0033A0,#FFFFFF,,,
AKR,AKR,National Football League,,,Akron,Indians,,1926,1926,Akron,OH,#0033A0,#FFFFFF,,,
WHE,WHE,Independent,,,Wheeling,Stogies,,1920,1920,Wheeling,WV,,,,,
RCH,RCH,New York Pro Football League,,,Rochester,Jeffersons,,1898,1919,Rochester,NY,#C8102E,#FFFFFF,,,
RCH,RCH,National Football League,,,Rochester,Jeffersons,,1920,1925,Rochester,NY,#C8102E,#FFFFFF,,,
ABU,ABU,Independent,,,,All-Buffalo,,1920,1920,,NY,,,,,
DAY,DAY,Ohio League,,,St Marys,Cadets,,1913,1914,Dayton,OH,#002244,#FFFFFF,,,
DAY,DAY,Ohio League,,,Dayton,Gym-Cadets,,1915,1915,Dayton,OH,#002244,#FFFFFF,,,
DAY,DAY,Ohio League,,,Dayton,Triangles,,1916,1919,Dayton,OH,#002244,#FFFFFF,,,
DAY,DAY,National Football League,,,Dayton,Triangles,,1920,1929,Dayton,OH,#002244,#FFFFFF,,,
COL,COL,Independent,,,Columbus,railroad team,,1901,1901,Columbus,OH,#5A1414,#FFB612,#FFFFFF,,
COL,COL,Independent,,,Columbus,Panhandles,,1902,1903,Columbus,OH,#5A1414,#FFB612,#FFFFFF,,
COL,COL,Independent,,,Columbus,Panhandles,,1904,1919,Columbus,OH,#5A1414,#FFB612,#FFFFFF,,
COL,COL,National Football League,,,Columbus,Panhandles,,1920,1922,Columbus,OH,#5A1414,#FFB612,#FFFFFF,,
COL,COL,National Football League,,,Columbus,Tigers,,1923,1926,Columbus,OH,#000000,#FFB612,#FFFFFF,,
MUN,MUN,Independent,,,,Congerville Athletic Club,,1905,1916,Muncie,IN,#C8102E,#FFFFFF,,,
MUN,MUN,Independent,,,,Congerville Thirds,,1916,1916,Muncie,IN,#C8102E,#FFFFFF,,,
MUN,MUN,Independent,,,,Congerville Flyers,,1916,1919,Muncie,IN,#C8102E,#FFFFFF,,,
MUN,MUN,National Football League,,,Muncie,Flyers,,1920,1921,Muncie,IN,#C8102E,#FFFFFF,,,
MUN,MUN,Independent,,,,Congerville Flyers,,1922,1924,Muncie,IN,#C8102E,#FFFFFF,,,
MUN,MUN,Independent,,,Jonesboro,Flyers,,1925,1925,Jonesboro,IN,#C8102E,#FFFFFF,,,
CHI,CHI,Independent,,,Decatur,Staleys,,1919,1919,Decatur,IL,#002244,#DC4405,#FFFFFF,,
CHI,CHI,National Football League,,,Decatur,Staleys,,1920,1920,Decatur,IL,#002244,#DC4405,#FFFFFF,,
CHI,CHI,National Football League,,,Chicago,Staleys,,1921,1921,Chicago,IL,#002244,#DC4405,#FFFFFF,,
CHI,CHI,National Football League,,,Chicago,Bears,,1922,2026,Chicago,IL,#0B162A,#C83803,#FFFFFF,,
MUT,MUT,Independent,,,Moline,Universal Tractors,,1920,1920,Moline,IL,,,,,
CBD,CBD,Ohio League,,,Canton,Athletic Club,,1904,1906,Canton,OH,#800000,#FFFFFF,,,
CBD,CBD,Ohio League,,,Canton,Professionals,,1911,1914,Canton,OH,#800000,#FFFFFF,,,
CBD,CBD,Ohio League,,,Canton,Bulldogs,,1915,1919,Canton,OH,#800000,#FFFFFF,,,
CBD,CBD,National Football League,,,Canton,Bulldogs,,1920,1923,Canton,OH,#800000,#FFFFFF,,,
CBD,CBD,National Football League,,,Canton,Bulldogs,,1925,1926,Canton,OH,#800000,#FFFFFF,,,
PTQ,PTQ,Independent,,,Pitcairn,Quakers,,1904,1920,Pitcairn,PA,#C8102E,#FFD100,,,
BFF,BFF,Independent,,,Buffalo,All-Stars,,1915,1917,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,Buffalo Semi-Pro Football League,,,Buffalo,Niagaras,,1918,1918,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,New York Pro Football League,,,Buffalo,Prospects,,1919,1919,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,National Football League,,,Buffalo,All-Americans,,1920,1923,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,National Football League,,,Buffalo,Bisons,,1924,1925,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,National Football League,,,Buffalo,Rangers,,1926,1926,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
BFF,BFF,National Football League,,,Buffalo,Bisons,,1927,1929,Buffalo,NY,#000000,#DC4405,#FFFFFF,,
WBU,WBU,Independent,,,,West Buffalo,,1920,1920,Buffalo,NY,,,,,
TLM,TLM,Ohio League,,,Toledo,Athletic Association,,1902,1905,Toledo,OH,#800000,#FFFFFF,,,
TLM,TLM,Ohio League,,,Toledo,Maroons,,1906,1921,Toledo,OH,#800000,#FFFFFF,,,
TLM,TOL,National Football League,,,Toledo,Maroons,,1922,1923,Toledo,OH,#800000,#FFFFFF,,,
DHR,DHR,Independent,,,Detroit,Heralds,,1905,1910,Detroit,MI,#C8102E,#FFFFFF,,,
DHR,DHR,Ohio League,,,Detroit,Heralds,,1911,1919,Detroit,MI,#C8102E,#FFFFFF,,,
DHR,DHR,National Football League,,,Detroit,Heralds,,1920,1920,Detroit,MI,#C8102E,#FFFFFF,,,
DHR,DTI,National Football League,,,Detroit,Tigers,,1921,1921,Detroit,MI,#DC4405,#000000,#FFFFFF,,
DHR,DPN,National Football League,,,Detroit,Panthers,,1925,1926,Detroit,MI,#0033A0,#FFB612,#FFFFFF,,
DHR,DWL,National Football League,,,Detroit,Wolverines,,1928,1928,Detroit,MI,#0033A0,#FFFFFF,,,
ARI,ARI,Independent,,,Chicago,Morgan Athletic Club,,1898,1899,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,Independent,,,Chicago,Normals,,1900,1900,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,Independent,,,Chicago,Racine Cardinals,,1901,1919,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,National Football League,,,Chicago,Racine Cardinals,,1920,1921,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,National Football League,,,Chicago,Cardinals,,1922,1943,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,National Football League,,,Chicago,Cardinals,,1945,1959,Chicago,IL,#97233F,#FFFFFF,,,
ARI,ARI,National Football League,,,St. Louis,Cardinals,,1960,1987,St. Louis,MO,#97233F,#FFFFFF,,,
ARI,ARI,National Football League,,,Phoenix,Cardinals,,1988,1993,Phoenix,AZ,#97233F,#FFFFFF,,,
