# Franchise names for football. Curated by hand; nobody publishes this.
#
# NO DATES, AND THAT IS THE POINT. Baseball's data/reference/mlb-names.csv
# carries real eras from Retrosheet, so a 1969 game is labelled "Seattle
# Pilots". Football has no equivalent source, so a code resolves to the CURRENT
# franchise name whatever the date: a 1995 Rams game says "Los Angeles Rams"
# even though it was played in St. Louis. That is wrong as history and is
# exactly what arethepackersundefeated.com has always done, so it is a known
# limitation rather than a regression. Fixing it means tracing each franchise by
# hand — see data/reference/nfl-franchises.csv.
#
# `alias` rows exist because the two sources disagree on codes for the same
# club. FiveThirtyEight (pre-1999) writes LAC, LAR, OAK, WSH; nflverse (1999+)
# writes SD, STL, LA, LV, WAS — and one club's games contain both, because the
# eras come from different files. Without these rows the Packers' own opponent
# list has five codes that resolve to nothing.
code,name,kind
ARI,Arizona Cardinals,current
ATL,Atlanta Falcons,current
BAL,Baltimore Ravens,current
BUF,Buffalo Bills,current
CAR,Carolina Panthers,current
CHI,Chicago Bears,current
CIN,Cincinnati Bengals,current
CLE,Cleveland Browns,current
DAL,Dallas Cowboys,current
DEN,Denver Broncos,current
DET,Detroit Lions,current
GB,Green Bay Packers,current
HOU,Houston Texans,current
IND,Indianapolis Colts,current
JAX,Jacksonville Jaguars,current
KC,Kansas City Chiefs,current
LA,Los Angeles Rams,current
LAC,Los Angeles Chargers,current
LV,Las Vegas Raiders,current
MIA,Miami Dolphins,current
MIN,Minnesota Vikings,current
NE,New England Patriots,current
NO,New Orleans Saints,current
NYG,New York Giants,current
NYJ,New York Jets,current
PHI,Philadelphia Eagles,current
PIT,Pittsburgh Steelers,current
SEA,Seattle Seahawks,current
SF,San Francisco 49ers,current
TB,Tampa Bay Buccaneers,current
TEN,Tennessee Titans,current
WAS,Washington Commanders,current
LAR,Los Angeles Rams,alias
STL,Los Angeles Rams,alias
SD,Los Angeles Chargers,alias
OAK,Las Vegas Raiders,alias
WSH,Washington Commanders,alias
